.okay,Soundpack\Memes\okay.mp3,0.4,1.9
.onichan,Soundpack\Memes\onichan.mp3,0.2,1.1
.smoke,Soundpack\Memes\order.mp3,0.4,15.9
.ps2,Soundpack\Memes\ps2.mp3,0.3,8.7
.roger,Soundpack\Memes\roger.mp3,0.6,0.9
.sloppy,Soundpack\Memes\sloppy.mp3,0.35,1.6
.snake,Soundpack\Memes\snake death sound.mp3,0.5,5.0
.soulja,Soundpack\Memes\Soulja Boy Gets Let Down.mp3,0.5,6.7
.hams,Soundpack\Memes\steamed hams.mp3,1.0,1.1
.kripp,Soundpack\Memes\Super Kripparian 64.mp3,0.1,3.5
.thx,Soundpack\Memes\thx.mp3,0.2,12.4
.toy,Soundpack\Memes\toy.mp3,0.5,0.9
.squeak,Soundpack\Memes\toy.mp3,0.5,0.9
.tutturuu,Soundpack\Memes\tutturuu.mp3,0.75,1.4
.uav,Soundpack\Memes\uav-online.mp3,0.3,1.4
.ugh,Soundpack\Memes\ugh.mp3,0.5,1.0
.tim,Soundpack\Memes\ugh.mp3,0.5,1.0
.wombo,Soundpack\Memes\wombo.mp3,0.15,2.0
.work,Soundpack\Memes\work work.mp3,0.7,1.7
.wot,Soundpack\Memes\wot.mp3,0.6,1.6
.xfiles,Soundpack\Memes\xfiles.mp3,0.3,2.0
.yabba,Soundpack\Memes\yabba.mp3,0.2,3.0
.fred,Soundpack\Memes\yabba.mp3,0.2,3.0
.flintstones,Soundpack\Memes\yabba.mp3,0.2,3.0
.shaxx,Soundpack\Memes\yes.mp3,0.8,2.3
.crank,Soundpack\Memes\you.mp3,1.0,0.8
.what,Soundpack\Memes\what.mp3,0.6,0.9
.betrayal,Soundpack\Memes\betrayal.mp3,0.2,1.3
.lust,Soundpack\Memes\lust.mp3,0.4,2.7
.beer,Soundpack\Memes\BEER.mp3,0.3,1.2
.peter,Soundpack\Memes\peter laugh.mp3,0.22,1.3
.fartverb,Soundpack\Memes\fartverb.mp3,0.5,3.2
.america,Soundpack\Memes\america.mp3,0.6,3.0
.trapcard,Soundpack\Memes\trapcard.mp3,1.0,2.2
.greed,Soundpack\Memes\greed.mp3,0.4,6.5
.jason,Soundpack\Memes\jason.mp3,0.5,1.2
.sean,Soundpack\Memes\shawn.mp3,0.8,0.8
.courage,Soundpack\Memes\courage-speak.mp3,0.6,4.3
.johnny,Soundpack\Memes\Do the monkey.mp3,0.4,1.0
.piss,Soundpack\Memes\piss.mp3,1.0,3.9
.tetris,Soundpack\Memes\tetris.mp3,1.0,0.9
.neck,Soundpack\Memes\neck and neck.mp3,1.0,0.6
.darkness,Soundpack\Memes\darkness.mp3,1.0,3.8
.shot,Soundpack\Memes\nice shot.mp3,0.7,1.0
.cock,Soundpack\Memes\Nice cock.mp3,0.55,1.5
.ss2,Soundpack\Memes\sea-shanty-2.mp3,0.5,2.4
.seashanty2,Soundpack\Memes\sea-shanty-2.mp3,0.5,2.4
.hit,Soundpack\Memes\rs hit.mp3,0.6,0.2
.anduin,Soundpack\Memes\anduin wow.mp3,0.45,0.8
.oven,Soundpack\Memes\Why Do They Call It Oven .mp3,0.75,7.3
.now,Soundpack/Custom/ltgnow.wav,0.2,1.2012244897959183
.frieza,Soundpack\Memes\hello monkeys.mp3,0.7,1.3
.monkeys,Soundpack\Memes\hello monkeys.mp3,0.7,1.3
.ui,Soundpack\Memes\ui.mp3,0.75,0.6
.damp,Soundpack\Memes\damp.mp3,0.5,2.5
.pimp,Soundpack\Memes\my bad pimp.mp3,0.75,1.1
.mybad,Soundpack\Memes\my bad pimp.mp3,0.75,1.1
.bird,Soundpack\Memes\birb-up.mp3,0.5,3.4
.bwah,Soundpack\Memes\bwah.mp3,0.8,1.5
.coda,Soundpack\Memes\damaged_coda.mp3,0.3,6.8
.bobby,Soundpack\Memes\dang-it-bobby.mp3,1.0,1.3
.daytona,Soundpack\Memes\daytona.mp3,0.3,4.0
.doot,Soundpack\Memes\doot daytona.mp3,0.6,0.2
.dootdoot,Soundpack\Memes\dootdoot daytona.mp3,0.4,4.0
.giggity,Soundpack\Memes\giggity.mp3,0.65,1.8
.giddy,Soundpack\Memes\I'm feeling giddy.wav,0.4,1.2634013605442176
.win,Soundpack\Memes\I'm going to win.wav,0.4,1.6384580498866212
.charge,Soundpack\Memes\I'm in charge now.mp3,0.4,2.0
.sad,Soundpack\Memes\I'm very sad.mp3,0.4,1.3
.kaboom,Soundpack\Memes\kaboom.wav,0.3,1.6864754098360655
.sploosh,Soundpack\Memes\sploosh.wav,0.4,1.3657786885245902
